"congress","chamber","icpsr","bioguide_id","member","party_name","screen_name","account_type","handle_type","state_abbrev","district_code"
115,"House",21565,"C001108","James Comer","republican","KYCOMER","campaign","prev_names","KY","01"
115,"House",21743,"R000608","Jacky Rosen","democratic","REPJACKYROSEN","office","prev_names","NV","03"
115,"House",21715,"E000297","Adriano Espaillat","democratic","REPESPAILLAT","office","screen_name","NY","13"
115,"House",21725,"H001074","Trey Hollingsworth","republican","REPTREY","office","screen_name","IN","09"
115,"House",21566,"E000296","Dwight Evans","democratic","REPDWIGHTEVANS","office","screen_name","PA","02"
115,"House",21734,"M001198","Roger Marshall","republican","ROGERMARSHALLMD","campaign","screen_name","KS","01"
115,"House",21150,"L000576","Billy Long","republican","USREPLONG","office","screen_name","MO","07"
115,"House",21376,"B001289","Bradley Byrne","republican","REPBYRNE","office","screen_name","AL","01"
115,"House",29701,"A000055","Robert Aderholt","republican","ROBERT_ADERHOLT","office","screen_name","AL","04"
115,"House",21500,"P000609","Gary Palmer","republican","USREPGARYPALMER","office","screen_name","AL","06"
115,"House",21108,"W000809","Steve Womack","republican","REP_STEVEWOMACK","office","screen_name","AR","03"
115,"House",21106,"C001087","Rick Crawford","republican","REPRICKCRAWFORD","office","screen_name","AR","01"
115,"House",21504,"D000623","Mark DeSaulnier","democratic","REPDESAULNIER","office","screen_name","CA","11"
115,"House",21311,"R000599","Raul Ruiz","democratic","CONGRESSMANRUIZ","office","prev_names","CA","36"
115,"House",29901,"T000460","Mike Thompson","democratic","REPTHOMPSON","office","screen_name","CA","05"
115,"House",21508,"T000474","Norma Torres","democratic","NORMAJTORRES","office","screen_name","CA","35"
115,"House",21709,"C001112","Salud Carbajal","democratic","REPCARBAJAL","office","screen_name","CA","24"
115,"House",20104,"S001150","Adam Schiff","democratic","REPADAMSCHIFF","office","screen_name","CA","28"
115,"House",20762,"S001175","Jackie Speier","democratic","REPSPEIER","office","screen_name","CA","14"
115,"House",21110,"B001270","Karen Bass","democratic","REPKARENBASS","office","screen_name","CA","37"
115,"House",21306,"S001193","Eric Swalwell","democratic","REPSWALWELL","office","screen_name","CA","15"
115,"House",29323,"C000059","Ken Calvert","republican","KENCALVERT","office","screen_name","CA","42"
115,"House",21505,"K000387","Steve Knight","republican","STEVEKNIGHT25","office","screen_name","CA","25"
115,"House",21509,"W000820","Mimi Walters","republican","REPMIMIWALTERS","office","screen_name","CA","45"
115,"House",15448,"P000197","Nancy Pelosi","democratic","NANCYPELOSI","office","prev_names","CA","12"
115,"House",20702,"M001166","Jerry McNerney","democratic","REPMCNERNEY","office","screen_name","CA","09"
115,"House",29321,"R000487","Ed Royce","republican","REPEDROYCE","office","screen_name","CA","39"
115,"House",21109,"D000612","Jeff Denham","republican","REPJEFFDENHAM","office","screen_name","CA","10"
115,"House",20501,"C001059","Jim Costa","democratic","REPJIMCOSTA","office","screen_name","CA","16"
115,"House",29504,"L000397","Zoe Lofgren","democratic","REPZOELOFGREN","office","screen_name","CA","19"
115,"House",20310,"S001156","Linda Sanchez","democratic","REPLINDASANCHEZ","office","screen_name","CA","38"
115,"House",21507,"L000582","Ted Lieu","democratic","REPTEDLIEU","office","screen_name","CA","33"
